链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
骑脚踏车人员在其他特指的运输事故中的损伤	V19.800	{"dummy_term": ["骑", "脚踏车", "人员", "在", "其他", "特指", "的", "运输", "事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
接触热空气和气体	X14.x00	{"dummy_term": ["接触", "热空气", "和", "气体"]}
充血性心力衰竭	I50.000	{"dummy_term": ["充血性", "心力衰竭"]}
用其他特指的手段进行加害	Y08.x00	{"dummy_term": ["用", "其他", "特指", "的", "手段", "进行", "加害"]}
妊娠合并硬化性胆管炎	O99.618	{"dummy_term": ["妊娠", "合", "并", "硬化性", "胆管炎"]}
双相情感障碍快速循环型	F31.802	{"dummy_term": ["双相", "情感", "障碍", "快速", "循环型"]}
风湿性联合瓣膜病	I08.901	{"dummy_term": ["风湿性", "瓣膜病"], "5_others_term": ["联合"]}
原发性胆汁型肝硬化	K74.300	{"dummy_term": ["原发性", "胆汁", "型", "肝硬化"]}
药物性股骨头坏死	M87.102	{"1_region_term": ["股骨头"], "dummy_term": ["坏死"], "5_others_term": ["药物性"]}
婴儿大脑性手足徐动型轻瘫	G24.200x001	{"1_region_term": ["大脑", "手足"], "dummy_term": ["婴儿", "性", "徐", "动", "型", "轻", "瘫"]}
心音其他的	R01.200	{"dummy_term": ["心音", "其他", "的"]}
心脏缺如	Q24.815	{"1_region_term": ["心脏"], "dummy_term": ["缺如"]}
大脑动脉血栓形成引起的脑梗死	I63.300	{"1_region_term": ["大脑"], "dummy_term": ["动脉血", "栓", "形成", "引起", "的", "脑梗死"]}
踝部损伤	S99.900x002	{"1_region_term": ["踝"], "dummy_term": ["部"], "3_disease_term": ["损伤"]}
性发育畸形	Q99.801	{"dummy_term": ["性", "发育畸形"]}
膀胱内异物	T19.100	{"1_region_term": ["膀胱"], "dummy_term": ["内"], "5_others_term": ["异物"]}
鼻中隔肉芽肿	J34.000x010	{"1_region_term": ["鼻中隔"], "3_disease_term": ["肉芽肿"]}
踝筋膜炎	M72.917	{"1_region_term": ["踝", "筋膜"], "dummy_term": ["炎"]}
舌损伤	S09.906	{"1_region_term": ["舌"], "3_disease_term": ["损伤"]}
结缔组织恶性肿瘤	C49.900x001	{"dummy_term": ["结缔组织", "恶性肿瘤"]}
肩胛带的骨折	S42.900	{"1_region_term": ["肩胛带"], "dummy_term": ["的"], "3_disease_term": ["骨折"]}
自发性气胸其他的	J93.100	{"dummy_term": ["自发性", "气胸", "其他", "的"]}
小肠良性肿瘤	D13.301	{"1_region_term": ["小肠"], "dummy_term": ["良性肿瘤"]}
支气管钙化	J98.008	{"1_region_term": ["支气管"], "dummy_term": ["钙化"]}
单侧不完全唇裂	Q36.902	{"dummy_term": ["不", "完全", "唇裂"], "5_others_term": ["单侧"]}
中脑出血	I61.300x004	{"dummy_term": ["中脑", "出", "血"]}
被其他哺乳动物咬伤或抓伤	W55.x00	{"dummy_term": ["被", "其他", "哺乳动物", "咬伤", "或", "抓伤"]}
眼睑皮炎	H01.101	{"1_region_term": ["眼睑"], "dummy_term": ["皮炎"]}
颧骨恶性肿瘤	C41.010	{"1_region_term": ["颧骨"], "dummy_term": ["恶性肿瘤"]}
急性髓系白血病完全缓解	C92.005	{"dummy_term": ["急性", "髓", "系", "白血病", "完全缓解"]}
淋球菌性阴道炎	A54.004	{"dummy_term": ["淋球菌", "性", "阴道炎"]}
具有其他不良生殖或产科病史者的妊娠监督	Z35.200	{"dummy_term": ["具有", "其他", "不良", "生殖", "或", "病史", "者", "的", "妊娠", "监督"], "5_others_term": ["产科"]}
刺激性轻泻剂的有害效应	Y53.200	{"dummy_term": ["刺激性", "轻", "泻剂", "的", "有害", "效应"]}
妊娠合并视网膜病	O99.800x114	{"1_region_term": ["视网膜"], "dummy_term": ["妊娠", "合", "并", "病"]}
眼伴头二度腐蚀伤	T20.600x010	{"1_region_term": ["眼"], "dummy_term": ["伴", "头", "二度", "腐蚀", "伤"]}
婴儿重度肌阵挛癫痫Dravet综合征	G40.300x014	{"1_region_term": ["肌"], "dummy_term": ["婴儿", "重度", "阵", "挛", "癫痫", "Dravet", "综合征"]}
主动脉体瘤	M86910/1	{"1_region_term": ["主动脉"], "3_disease_term": ["体瘤"]}
后天性肘内翻	M21.102	{"1_region_term": ["肘"], "dummy_term": ["后天性"], "3_disease_term": ["内翻"]}
视觉障碍	H53.900	{"dummy_term": ["视觉", "障碍"]}
妊娠合并生殖道沙眼衣原体感染	O98.300x013	{"dummy_term": ["妊娠", "合", "并", "生殖道", "沙眼", "衣原体", "感染"]}
脑交界性肿瘤	D43.200x002	{"1_region_term": ["脑"], "dummy_term": ["交界", "性", "肿瘤"]}
厌氧菌肠炎	A04.803	{"dummy_term": ["厌氧菌", "肠炎"]}
2型糖尿病性性无能	E11.400x360+G99.0*	{"dummy_term": ["2", "型", "糖尿病", "性", "性无能"]}
手皮肤良性肿瘤	D23.602	{"1_region_term": ["手", "皮肤"], "dummy_term": ["良性肿瘤"]}
喉肿瘤	D38.001	{"1_region_term": ["喉"], "dummy_term": ["肿瘤"]}
胆总管结石伴急性化脓性胆管炎	K80.301	{"1_region_term": ["胆总管"], "dummy_term": ["伴", "急性", "化脓性", "胆管炎"], "3_disease_term": ["结石"]}
胃黏膜病变	K31.905	{"1_region_term": ["胃黏膜"], "3_disease_term": ["病变"]}
缺氧缺血性脊髓病	G95.100x013	{"1_region_term": ["脊髓"], "dummy_term": ["缺氧", "缺血性", "病"]}
米里齐综合征	K80.801	{"dummy_term": ["米", "里", "齐", "综合征"]}
胫神经麻痹	G57.401	{"1_region_term": ["胫神经"], "dummy_term": ["麻痹"]}
肝炎性肿物	K75.800x006	{"dummy_term": ["肝炎", "性", "肿物"]}
连枷状关节	M25.200	{"1_region_term": ["关节"], "dummy_term": ["连枷", "状"]}
面部腐蚀伤	T20.400x005	{"1_region_term": ["面部"], "dummy_term": ["腐蚀", "伤"]}
骨髓瘤病	C90.001	{"dummy_term": ["骨髓瘤", "病"]}
高尿酸血症不伴有感染性关节炎体征和砂砾性病	E79.000	{"dummy_term": ["高尿酸", "血症", "不", "伴有", "感染性", "关节炎", "体征", "和", "砂砾", "性病"]}
全身性硬化性肌病	M34.804+G73.7*	{"1_region_term": ["全身性", "肌"], "dummy_term": ["硬化性", "病"]}
原发性醛固酮增多症低肾素性醛固酮增多症	E26.000x002	{"dummy_term": ["原发性", "醛固酮", "增多", "症", "低", "肾素", "性", "醛固酮", "增多", "症"]}
慢性家族性非溶血性黄疸Rotor综合征	E80.600x004	{"dummy_term": ["慢性", "家族", "性", "非", "溶血性", "黄疸", "Rotor", "综合征"]}
反	K07.205	{"dummy_term": ["反"]}
新生儿反胃和反刍	P92.100	{"dummy_term": ["新生儿", "反胃", "和", "反刍"]}
中心骨肉瘤	M91860/3	{"dummy_term": ["中心", "骨肉瘤"]}
须癣	B35.002	{"dummy_term": ["须", "癣"]}
小肾	N27.900	{"1_region_term": ["肾"], "5_others_term": ["小"]}
上臂虫咬伤	S40.800x032	{"1_region_term": ["上臂"], "dummy_term": ["虫", "咬伤"]}
原有高血压心脏和肾脏病并发于妊娠分娩和产褥期	O10.300	{"1_region_term": ["心脏"], "dummy_term": ["原有", "高血压", "和", "肾脏病", "并发", "于", "妊娠", "分娩", "和", "产褥期"]}
范科尼贫血	D61.007	{"dummy_term": ["范", "科", "尼", "贫血"]}
髂动脉闭塞性粥样硬化	I70.802	{"1_region_term": ["髂动脉"], "dummy_term": ["闭塞性", "粥样", "硬化"]}
腹股沟淋巴瘤	C85.900x030	{"1_region_term": ["腹股沟"], "dummy_term": ["淋巴瘤"]}
抗甲状腺素药过敏个人史	Z88.815	{"dummy_term": ["抗", "甲状腺素", "药", "过敏", "个人", "史"]}
妊娠期体重增加过低	O26.100	{"dummy_term": ["妊娠期", "体重增加", "过", "低"]}
肢体多处结缔组织良性肿瘤	D21.900x014	{"dummy_term": ["肢体", "多处", "结缔组织", "良性肿瘤"]}
创伤性胃动脉破裂	S35.203	{"1_region_term": ["胃动脉"], "dummy_term": ["创伤性"], "3_disease_term": ["破裂"]}
中毒性腹泻	K52.103	{"dummy_term": ["中毒", "性"], "3_disease_term": ["腹泻"]}
瞳孔括约肌麻痹	H52.501	{"1_region_term": ["瞳孔"], "dummy_term": ["括约肌", "麻痹"]}
肺部感染	J98.414	{"dummy_term": ["肺部", "感染"]}
神经症性障碍其他特指的	F48.800	{"1_region_term": ["神经症"], "dummy_term": ["性障碍", "其他", "特指", "的"]}
硬膜下囊肿	G93.005	{"dummy_term": ["硬", "膜", "下"], "3_disease_term": ["囊肿"]}
颅前窝脑膜瘤	D32.013	{"dummy_term": ["颅", "前", "窝", "脑膜瘤"]}
小腿感染性肌炎	M60.000x061	{"1_region_term": ["小腿", "肌"], "dummy_term": ["感染性", "炎"]}
牙齿扭转	K07.300x006	{"1_region_term": ["牙齿"], "3_disease_term": ["扭转"]}
病毒性脑膜炎其他的	A87.800	{"dummy_term": ["病毒性", "脑膜炎", "其他", "的"]}
多甲	L60.800x021	{"1_region_term": ["甲"], "dummy_term": ["多"]}
肱二头肌长头肌腱炎	M75.201	{"1_region_term": ["肱二头肌", "肌腱"], "dummy_term": ["长", "头", "炎"]}
先天性肾盂输尿管连接梗阻	Q62.101	{"1_region_term": ["肾盂输尿管"], "dummy_term": ["先天性", "连接"], "3_disease_term": ["梗阻"]}
先天性小心室	Q20.800x003	{"dummy_term": ["先天性", "小心", "室"]}
畸胎瘤伴恶性变	M90841/3	{"dummy_term": ["畸胎瘤", "伴", "恶性", "变"]}
软腭震颤	K13.700x024	{"1_region_term": ["软腭"], "dummy_term": ["震颤"]}
失神性癫痫持续状态	G41.101	{"dummy_term": ["失神", "性", "癫痫", "持续", "状态"]}
舌扁桃体恶性肿瘤	C02.400	{"1_region_term": ["舌", "扁桃体"], "dummy_term": ["恶性肿瘤"]}
天疱疮其他特指的	L10.800	{"dummy_term": ["天疱疮", "其他", "特指", "的"]}
结膜铁质沉着症	H11.103	{"1_region_term": ["结膜"], "dummy_term": ["铁质", "沉着", "症"]}
慢性龈炎	K05.100	{"dummy_term": ["慢性", "龈炎"]}
类圆线虫病	B78.900	{"dummy_term": ["类", "圆", "线虫病"]}
先天性桡骨缺如	Q71.401	{"1_region_term": ["桡骨"], "dummy_term": ["先天性", "缺如"]}
乳牙早萌	K00.600x001	{"1_region_term": ["乳牙"], "dummy_term": ["早", "萌"]}
派尔综合征Pyle综合征	Q78.500x001	{"dummy_term": ["派尔", "综合征", "Pyle", "综合征"]}
腋一度腐蚀伤	T22.500x006	{"dummy_term": ["腋", "一度", "腐蚀", "伤"]}
明细胞腺纤维瘤	M83130/0	{"dummy_term": ["明", "细胞", "腺", "纤维瘤"]}
恶性肿瘤术后恢复期	Z54.001	{"dummy_term": ["恶性肿瘤", "恢复期"], "3_disease_term": ["术后"]}
胎儿和新生儿受母体营养性疾患的影响	P00.400	{"dummy_term": ["和", "新生儿", "受", "母体", "疾患", "的", "影响"], "2_operation_term": ["营养性"], "5_others_term": ["胎儿"]}
血管瘤	D18.000x001	{"dummy_term": ["血管瘤"]}
高磷尿症	E83.301	{"dummy_term": ["高", "磷", "尿", "症"]}
中隔束支传导阻滞	I45.500x005	{"dummy_term": ["隔", "束", "支", "传导", "阻滞"], "5_others_term": ["中"]}
结肠吻合口炎	K91.808	{"1_region_term": ["结肠"], "dummy_term": ["吻合", "口炎"]}
肺结核病理阴性	A16.020	{"dummy_term": ["肺结核", "病理", "阴性"]}
涉及生物武器的作战行动	Y36.600	{"dummy_term": ["涉及", "生物武器", "的", "作战", "行动"]}
肠道传染病的特殊筛查	Z11.000	{"dummy_term": ["肠道", "传染病", "的", "特殊", "筛查"]}
下肢蜂窝织炎	L03.107	{"1_region_term": ["下肢"], "dummy_term": ["蜂窝", "织", "炎"]}
与独自生活有关具有潜在健康问题	Z60.200	{"dummy_term": ["与", "独自", "生活", "有关", "具有", "潜在", "健康", "问题"]}
BrustingPerrry类天疱疮	L12.800x002	{"dummy_term": ["BrustingPerrry", "类", "天疱疮"]}
先天性喉软骨软化病	Q31.500	{"1_region_term": ["喉软骨"], "dummy_term": ["先天性", "软化病"]}
大腿后部肌群和肌腱损伤	S76.300x001	{"1_region_term": ["大腿", "肌", "肌腱"], "dummy_term": ["后部", "群", "和"], "3_disease_term": ["损伤"]}
伤寒并发肺炎	A01.000x005+J17.0*	{"dummy_term": ["伤寒", "并发", "肺炎"]}
足滑膜囊肿	M71.309	{"1_region_term": ["足", "滑膜"], "3_disease_term": ["囊肿"]}
卵巢动态未定或动态未知的肿瘤	D39.100	{"1_region_term": ["卵巢"], "dummy_term": ["动态", "未定", "或", "动态", "未知", "的", "肿瘤"]}
胰管狭窄	K86.804	{"1_region_term": ["胰管"], "3_disease_term": ["狭窄"]}
梗阻性肾病	N13.801	{"dummy_term": ["肾病"], "3_disease_term": ["梗阻性"]}
毛盘瘤	Q85.900x025	{"dummy_term": ["毛", "盘"], "3_disease_term": ["瘤"]}
淋巴样肉芽肿病	D47.700x001	{"1_region_term": ["淋巴"], "dummy_term": ["样", "病"], "3_disease_term": ["肉芽肿"]}
宫颈恶性肿瘤	C53.900	{"1_region_term": ["宫颈"], "dummy_term": ["恶性肿瘤"]}
肠道肿瘤的特殊筛查	Z12.100	{"dummy_term": ["肠道", "肿瘤", "的", "特殊", "筛查"]}
臂丛交界性肿瘤	D48.200x017	{"dummy_term": ["臂丛", "交界", "性", "肿瘤"]}
猩红热产科型	A38.x00x014	{"dummy_term": ["型"], "5_others_term": ["产科"], "3_disease_term": ["猩红热"]}
粪类圆线虫感染	B78.901	{"dummy_term": ["粪", "类", "圆", "线虫", "感染"]}
钩甲	L60.200x003	{"1_region_term": ["甲"], "dummy_term": ["钩"]}
疣状胃胃窦炎	K29.700x003	{"1_region_term": ["胃"], "dummy_term": ["疣", "状", "胃窦炎"]}
念珠菌性腹膜炎	B37.800x091	{"dummy_term": ["念珠菌性", "腹膜炎"]}
暴露于其他的有生命机械性力量下	W64.x00	{"dummy_term": ["暴露", "于", "其他", "的", "有", "生命", "机械性", "力量", "下"]}
麻醉品和致幻药致幻剂的中毒及暴露于该类药物不可归类在他处意图不确定的	Y12.x00	{"dummy_term": ["麻醉品", "和", "致", "幻", "药", "致幻剂", "的", "中毒", "及", "暴露", "于", "该", "类药物", "不可", "归类", "在", "他", "处", "意图", "不", "确定", "的"]}
椎间盘疾患引起的神经根和神经丛压迫	G55.1*	{"1_region_term": ["椎间盘", "神经", "神经"], "dummy_term": ["疾患", "引起", "的", "根", "和", "丛", "压迫"]}
会阴炎性包块	L08.909	{"dummy_term": ["会", "阴炎", "性", "包", "块"]}
非特异性室内传导阻滞	I45.400	{"dummy_term": ["非", "特异性", "室内", "传导", "阻滞"]}
1型糖尿病性增殖性视网膜前出血性视网膜病	E10.300x033+H36.0*	{"1_region_term": ["视网膜", "视网膜"], "dummy_term": ["1", "型", "糖尿病", "性", "增殖性", "前", "病"], "3_disease_term": ["出血性"]}
使用其他兴奋剂包括咖啡因引起的依赖综合征	F15.200	{"dummy_term": ["使用", "其他", "兴奋剂", "包括", "咖啡因", "引起", "的", "依赖", "综合征"]}
转移性中肾瘤	M91100/6	{"1_region_term": ["肾"], "dummy_term": ["转移性"], "5_others_term": ["中"], "3_disease_term": ["瘤"]}
转移性黏液肉瘤	M88400/6	{"dummy_term": ["转移性", "黏液", "肉瘤"]}
丘脑脓肿	G06.000x008	{"1_region_term": ["丘脑"], "3_disease_term": ["脓肿"]}
手术后心力衰竭伴肺水肿	I97.100x004	{"dummy_term": ["心力衰竭", "伴", "肺水肿"], "5_others_term": ["手术后"]}
面骨良性肿瘤	D16.401	{"1_region_term": ["面骨"], "dummy_term": ["良性肿瘤"]}
新生儿的脐带出血	P51.900	{"dummy_term": ["新生儿", "的", "脐带", "出", "血"]}
腹疝伴有梗阻不伴有坏疽其他特指的	K45.000	{"1_region_term": ["腹"], "dummy_term": ["伴有", "不", "伴有", "坏疽", "其他", "特指", "的"], "3_disease_term": ["疝", "梗阻"]}
金黄色葡萄球菌肠炎	A04.800x007	{"dummy_term": ["金黄色", "葡萄球菌", "肠炎"]}
急性肺栓塞	I26.900x010	{"dummy_term": ["急性", "肺栓塞"]}
淋巴细胞减少型霍奇金病	C81.300	{"dummy_term": ["淋巴细胞", "减少", "型", "霍奇金", "病"]}
纤维母细胞网状细胞肿瘤	M97590/3	{"dummy_term": ["纤维", "母细胞", "网状", "细胞", "肿瘤"]}
腘动脉损伤	S85.000	{"1_region_term": ["腘动脉"], "3_disease_term": ["损伤"]}
肠系膜动脉瘤	I72.800x061	{"1_region_term": ["肠系膜动脉"], "3_disease_term": ["瘤"]}
2型糖尿病性勃起功能障碍	N48.400x008	{"dummy_term": ["2", "型", "糖尿病", "性", "勃起", "功能障碍"]}
咳嗽变异性哮喘	J45.005	{"dummy_term": ["咳嗽", "变异性", "哮喘"]}
碘性甲状腺功能减退	E01.801	{"1_region_term": ["甲状腺"], "dummy_term": ["碘", "性", "功能", "减退"]}
左心自体瓣膜性心内膜炎	I33.000x022	{"1_region_term": ["左心"], "dummy_term": ["性", "心内膜炎"], "5_others_term": ["自体", "瓣膜"]}
直肠多处恶性肿瘤	C20.x00x003	{"1_region_term": ["直肠"], "dummy_term": ["多处", "恶性肿瘤"]}
面部其他和未特指部位皮肤的良性肿瘤	D23.300	{"1_region_term": ["面部", "皮肤"], "dummy_term": ["其他", "和", "未", "特指", "部位", "的", "良性肿瘤"]}
环杓关节炎	J38.700x013	{"1_region_term": ["环杓关节"], "dummy_term": ["炎"]}
前牙开合	K07.202	{"dummy_term": ["前牙", "开合"]}
眶整形	Z41.100x016	{"1_region_term": ["眶"], "dummy_term": ["整形"]}
特发性急性胰腺炎	K85.000	{"dummy_term": ["特发性", "急性", "胰腺炎"]}
新生儿呕血	P54.000	{"dummy_term": ["新生儿", "呕血"]}
先天性贫血其他的不可归类在他处者	P61.400	{"dummy_term": ["先天性", "贫血", "其他", "的", "不可", "归类", "在", "他", "处", "者"]}
口底交搭跨越恶性肿瘤的损害	C04.800	{"1_region_term": ["口底"], "dummy_term": ["交", "搭", "跨越", "恶性肿瘤", "的", "损害"]}
转移性颗粒细胞癌	M83200/6	{"dummy_term": ["转移性", "颗粒细胞", "癌"]}
腓骨骨折连接不正	M84.000x063	{"1_region_term": ["腓骨"], "dummy_term": ["连接", "不正"], "3_disease_term": ["骨折"]}
大腿肌肉劳损	M62.603	{"1_region_term": ["大腿", "肌肉"], "dummy_term": ["劳损"]}
开放性股骨特指部位骨折	S72.810	{"1_region_term": ["股骨"], "dummy_term": ["特指", "部位"], "3_disease_term": ["开放性", "骨折"]}
盆腔肿物	R19.002	{"1_region_term": ["盆腔"], "dummy_term": ["肿物"]}
增殖型肺结核病理阳性	A15.209	{"dummy_term": ["增殖", "型", "肺结核", "病理", "阳性"]}
为抗狂犬病采取必要的免疫	Z24.200	{"dummy_term": ["为", "抗", "狂犬病", "采取", "必要", "的", "免疫"]}
外阴黑色素痣	D22.500x005	{"1_region_term": ["外阴"], "dummy_term": ["黑", "色素痣"]}
喉先天性畸形	Q31.900	{"1_region_term": ["喉"], "dummy_term": ["先天性"], "3_disease_term": ["畸形"]}
胎儿皮下组织增厚	O35.813	{"1_region_term": ["皮下组织"], "dummy_term": ["增厚"], "5_others_term": ["胎儿"]}
鼻孔内异物	T17.100	{"dummy_term": ["鼻孔", "内"], "5_others_term": ["异物"]}
开放性腕部多发损伤	S61.701	{"dummy_term": ["腕部", "多发"], "3_disease_term": ["开放性", "损伤"]}
肩胛骨脱位	S43.301	{"1_region_term": ["肩胛骨"], "3_disease_term": ["脱位"]}
产程和分娩期间麻醉并发症	O74.900	{"dummy_term": ["产程", "和", "分娩", "期间", "麻醉", "并发症"]}
2型糖尿病性下肢感染	E11.500x051	{"1_region_term": ["下肢"], "dummy_term": ["2", "型", "糖尿病", "性", "感染"]}
大唾液腺交界性肿瘤	D37.000x008	{"1_region_term": ["唾液腺"], "dummy_term": ["交界", "性", "肿瘤"], "5_others_term": ["大"]}
肾上腺皮质醇增多症性高血压	I15.200x002	{"1_region_term": ["肾上腺"], "dummy_term": ["皮质醇", "增多", "症", "性", "高血压"]}
胫腓近端韧带损伤	S83.600x007	{"1_region_term": ["韧带"], "dummy_term": ["胫", "腓", "近", "端"], "3_disease_term": ["损伤"]}
β葡萄糖醛酸酶缺乏	E76.200x012	{"dummy_term": ["β", "葡萄糖", "醛酸", "酶", "缺乏"]}
冠状动脉动静脉瘘	I25.400x003	{"1_region_term": ["冠状动脉", "动静脉瘘"]}
牙周巨细胞肉芽肿	K06.800x009	{"1_region_term": ["牙周"], "dummy_term": ["巨细胞"], "3_disease_term": ["肉芽肿"]}
