链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
囊虫病[囊尾蚴病]	B69	{"dummy_term": ["囊虫", "病", "[", "囊尾蚴", "病", "]"]}
充血性心力衰竭	I50.000	{"dummy_term": ["充血性", "心力衰竭"]}
用其他特指的手段进行加害	Y08.x00	{"dummy_term": ["用", "其他", "特指", "的", "手段", "进行", "加害"]}
妊娠合并硬化性胆管炎	O99.618	{"dummy_term": ["妊娠", "合", "并", "硬化性", "胆管炎"]}
原发性胆汁型肝硬变	K74.300	{"dummy_term": ["原发性", "胆汁", "型", "肝硬变"]}
风湿性联合瓣膜病	I08.901	{"dummy_term": ["风湿性", "瓣膜病"], "5_others_term": ["联合"]}
药物性股骨头坏死	M87.102	{"1_region_term": ["股骨头"], "dummy_term": ["坏死"], "5_others_term": ["药物性"]}
楔状骨骨折(足)	S92.203	{"1_region_term": ["骨", "足"], "dummy_term": ["楔", "状", "(", ")"], "3_disease_term": ["骨折"]}
供骨髓者	Z52.300	{"1_region_term": ["骨髓"], "dummy_term": ["供", "者"]}
心脏缺如	Q24.815	{"1_region_term": ["心脏"], "dummy_term": ["缺如"]}
麦克尔憩室恶性肿瘤	C17.300	{"dummy_term": ["麦克尔", "憩", "室", "恶性肿瘤"]}
未特指的入脑前动脉的闭塞和狭窄	I65.9	{"1_region_term": ["脑", "动脉"], "dummy_term": ["未", "特指", "的", "入", "前", "的", "闭塞", "和"], "3_disease_term": ["狭窄"]}
在小腿水平的胫神经损伤	S84.000	{"1_region_term": ["小腿", "胫神经"], "dummy_term": ["在", "水平", "的"], "3_disease_term": ["损伤"]}
肠、腹膜和肠系膜淋巴结的结核性疾患	K93.0*	{"1_region_term": ["肠", "腹膜", "肠系膜淋巴结"], "dummy_term": [",", "和", "的", "结核性", "疾患"]}
踝筋膜炎	M72.917	{"1_region_term": ["踝", "筋膜"], "dummy_term": ["炎"]}
舌损伤	S09.906	{"1_region_term": ["舌"], "3_disease_term": ["损伤"]}
急性下侧壁心肌梗死 	I21.105	{"dummy_term": ["急性", "下", "侧壁", "心肌梗死"]}
妊娠期发生的糖尿病	O24.400	{"dummy_term": ["妊娠期", "发生", "的", "糖尿病"]}
泪器系未特指的疾患	H04.9	{"dummy_term": ["泪器", "系", "未", "特指", "的", "疾患"]}
小肠良性肿瘤	D13.301	{"1_region_term": ["小肠"], "dummy_term": ["良性肿瘤"]}
支气管钙化	J98.008	{"1_region_term": ["支气管"], "dummy_term": ["钙化"]}
单侧不完全唇裂	Q36.902	{"dummy_term": ["不", "完全", "唇裂"], "5_others_term": ["单侧"]}
为抗霍乱伴有伤寒-副伤寒采取必要的免疫[霍乱†TAB]	Z27.000	{"dummy_term": ["为", "抗", "霍乱", "伴有", "伤寒", "-", "副伤寒", "采取", "必要", "的", "免疫", "[", "霍乱", "†", "TAB", "]"]}
被其他哺乳动物咬伤或抓伤	W55.x00	{"dummy_term": ["被", "其他", "哺乳动物", "咬伤", "或", "抓伤"]}
与不恰当的饮食习惯有关	Z72.4	{"dummy_term": ["与", "不", "恰当", "的", "饮食习惯", "有关"]}
颧骨恶性肿瘤	C41.010	{"1_region_term": ["颧骨"], "dummy_term": ["恶性肿瘤"]}
淋球菌性阴道炎	A54.004	{"dummy_term": ["淋球菌", "性", "阴道炎"]}
具有其他不良生殖或产科病史者的妊娠监督	Z35.200	{"dummy_term": ["具有", "其他", "不良", "生殖", "或", "病史", "者", "的", "妊娠", "监督"], "5_others_term": ["产科"]}
其他特指的非感染性胃肠炎和结肠炎	K52.8	{"dummy_term": ["其他", "特指", "的", "非", "感染性", "胃肠炎", "和", "结肠炎"]}
刺激性轻泻剂的有害效应	Y53.200	{"dummy_term": ["刺激性", "轻", "泻剂", "的", "有害", "效应"]}
大脑动脉未特指的闭塞或狭窄引起的脑梗死	I63.5	{"1_region_term": ["大脑", "动脉"], "dummy_term": ["未", "特指", "的", "闭塞", "或", "引起", "的", "脑梗死"], "3_disease_term": ["狭窄"]}
化学制剂、气体、烟雾和蒸气引起的支气管炎和肺炎	J68.000	{"dummy_term": ["化学", "制剂", ",", "气体", ",", "烟雾", "和", "蒸气", "引起", "的", "支气管炎", "和", "肺炎"]}
后天性肘内翻	M21.102	{"1_region_term": ["肘"], "dummy_term": ["后天性"], "3_disease_term": ["内翻"]}
视觉障碍	H53.900	{"dummy_term": ["视觉", "障碍"]}
浅表冻伤，其他部位的	T33.900	{"dummy_term": ["浅表", "冻伤", ",", "其他", "部位", "的"]}
贫血	D64.900	{"dummy_term": ["贫血"]}
厌氧菌肠炎	A04.803	{"dummy_term": ["厌氧菌", "肠炎"]}
面部产伤	P15.400	{"1_region_term": ["面部"], "dummy_term": ["产", "伤"]}
手皮肤良性肿瘤	D23.602	{"1_region_term": ["手", "皮肤"], "dummy_term": ["良性肿瘤"]}
喉肿瘤	D38.001	{"1_region_term": ["喉"], "dummy_term": ["肿瘤"]}
胆总管结石伴急性化脓性胆管炎	K80.301	{"1_region_term": ["胆总管"], "dummy_term": ["伴", "急性", "化脓性", "胆管炎"], "3_disease_term": ["结石"]}
米里齐综合征	K80.801	{"dummy_term": ["米", "里", "齐", "综合征"]}
胫神经麻痹	G57.401	{"1_region_term": ["胫神经"], "dummy_term": ["麻痹"]}
连枷状关节	M25.200	{"1_region_term": ["关节"], "dummy_term": ["连枷", "状"]}
骨髓瘤病	C90.001	{"dummy_term": ["骨髓瘤", "病"]}
高尿酸血症不伴有感染性关节炎体征和砂砾性病	E79.000	{"dummy_term": ["高尿酸", "血症", "不", "伴有", "感染性", "关节炎", "体征", "和", "砂砾", "性病"]}
全身性硬化性肌病	M34.804†G73.7*	{"1_region_term": ["全身性", "肌"], "dummy_term": ["硬化性", "病"]}
非以改善健康状况为目的操作	Z41.900	{"dummy_term": ["非", "以", "改善", "健康状况", "为", "目的"], "5_others_term": ["操作"]}
未特指的小汽车乘员在小汽车与两轮或三轮机动车碰撞交通事故中的损伤	V42.9	{"dummy_term": ["未", "特指", "的", "小汽车", "乘员", "在", "小汽车", "与", "两轮", "或", "三轮", "机动车", "碰撞", "交通事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
新生儿反胃和反刍	P92.100	{"dummy_term": ["新生儿", "反胃", "和", "反刍"]}
呼吸道结核，经细菌学和组织学所证实，其他的	A15.800	{"dummy_term": ["呼吸道", "结核", ",", "经", "细菌学", "和", "组织学", "所", "证实", ",", "其他", "的"]}
与有害事件有关的神经科治疗和康复装置(非手术的)	Y75.100	{"dummy_term": ["与", "有害", "事件", "有关", "的", "神经科", "和", "康复", "装置", "(", "非手术", "的", ")"], "2_operation_term": ["治疗"]}
咬合不正	K07.401	{"dummy_term": ["咬合", "不正"]}
髂动脉闭塞性粥样硬化	I70.802	{"1_region_term": ["髂动脉"], "dummy_term": ["闭塞性", "粥样", "硬化"]}
抗甲状腺素药过敏个人史	Z88.815	{"dummy_term": ["抗", "甲状腺素", "药", "过敏", "个人", "史"]}
妊娠期体重增加过低	O26.100	{"dummy_term": ["妊娠期", "体重增加", "过", "低"]}
创伤性胃动脉破裂	S35.203	{"1_region_term": ["胃动脉"], "dummy_term": ["创伤性"], "3_disease_term": ["破裂"]}
中毒性腹泻	K52.103	{"dummy_term": ["中毒", "性"], "3_disease_term": ["腹泻"]}
瞳孔括约肌麻痹	H52.501	{"1_region_term": ["瞳孔"], "dummy_term": ["括约肌", "麻痹"]}
肺部感染	J98.414	{"dummy_term": ["肺部", "感染"]}
硬膜下囊肿	G96.102	{"dummy_term": ["硬", "膜", "下"], "3_disease_term": ["囊肿"]}
颅前窝脑膜瘤	D32.013	{"dummy_term": ["颅", "前", "窝", "脑膜瘤"]}
其他男性生殖器官良性肿瘤	D29.7	{"dummy_term": ["其他", "生殖器官", "良性肿瘤"], "5_others_term": ["男性"]}
结合膜损伤和角膜擦伤，未提及异物	S05.000	{"1_region_term": ["角膜"], "dummy_term": ["结合膜", "和", "擦伤", ",", "未", "提及"], "5_others_term": ["异物"], "3_disease_term": ["损伤"]}
心导管插入术作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故	Y84.000	{"dummy_term": ["心导管", "作为", "病人", "异常", "反应", "或", "以后", "并发症", "的", "原因", ",", "而", "在", "当时", "并未", "提及", "意外事故"], "2_operation_term": ["插入术"], "5_others_term": ["操作"]}
全器官移植手术作为病人异常反应或以后并发症的原因，而在操作当时并未提及意外事故	Y83.000	{"dummy_term": ["全", "器官", "移植手术", "作为", "病人", "异常", "反应", "或", "以后", "并发症", "的", "原因", ",", "而", "在", "当时", "并未", "提及", "意外事故"], "5_others_term": ["操作"]}
听觉丧失，其他特指的	H91.800	{"dummy_term": ["听觉", "丧失", ",", "其他", "特指", "的"]}
未特指的双眼运动疾患	H51.9	{"dummy_term": ["未", "特指", "的", "双眼", "运动", "疾患"]}
失神性癫痫持续状态	G41.101	{"dummy_term": ["失神", "性", "癫痫", "持续", "状态"]}
舌扁桃体恶性肿瘤	C02.400	{"1_region_term": ["舌", "扁桃体"], "dummy_term": ["恶性肿瘤"]}
结膜铁质沉着症	H11.103	{"1_region_term": ["结膜"], "dummy_term": ["铁质", "沉着", "症"]}
慢性龈炎	K05.100	{"dummy_term": ["慢性", "龈炎"]}
类圆线虫病	B78.900	{"dummy_term": ["类", "圆", "线虫病"]}
先天性桡骨缺如	Q71.401	{"1_region_term": ["桡骨"], "dummy_term": ["先天性", "缺如"]}
影响钙化的制剂的有害效应	Y54.700	{"dummy_term": ["影响", "钙化", "的", "制剂", "的", "有害", "效应"]}
恶性肿瘤术后恢复期	Z54.001	{"dummy_term": ["恶性肿瘤", "恢复期"], "3_disease_term": ["术后"]}
胎儿和新生儿受母体营养性疾患的影响	P00.400	{"dummy_term": ["和", "新生儿", "受", "母体", "疾患", "的", "影响"], "2_operation_term": ["营养性"], "5_others_term": ["胎儿"]}
高磷尿症	E83.301	{"dummy_term": ["高", "磷", "尿", "症"]}
结肠吻合口炎	K91.808	{"1_region_term": ["结肠"], "dummy_term": ["吻合", "口炎"]}
盆腔内淋巴结继发性和未特指的恶性肿瘤	C77.5	{"1_region_term": ["盆腔", "淋巴结"], "dummy_term": ["内", "继发性", "和", "未", "特指", "的", "恶性肿瘤"]}
涉及生物武器的作战行动	Y36.600	{"dummy_term": ["涉及", "生物武器", "的", "作战", "行动"]}
肠道传染病的特殊筛查	Z11.000	{"dummy_term": ["肠道", "传染病", "的", "特殊", "筛查"]}
下肢蜂窝织炎	L03.107	{"1_region_term": ["下肢"], "dummy_term": ["蜂窝", "织", "炎"]}
双相情感障碍,目前为混合性发作	F31.6	{"dummy_term": ["双相", "情感", "障碍", "目前", "为", "混合性", "发作"]}
先天性喉软骨软化病	Q31.500	{"1_region_term": ["喉软骨"], "dummy_term": ["先天性", "软化病"]}
肌肉的其他(非创伤性)破裂	M62.100	{"1_region_term": ["肌肉"], "dummy_term": ["的", "其他", "(", "非", "创伤性", ")"], "3_disease_term": ["破裂"]}
足滑膜囊肿	M71.309	{"1_region_term": ["足", "滑膜"], "3_disease_term": ["囊肿"]}
卵巢动态未定或动态未知的肿瘤	D39.100	{"1_region_term": ["卵巢"], "dummy_term": ["动态", "未定", "或", "动态", "未知", "的", "肿瘤"]}
胰管狭窄	K86.804	{"1_region_term": ["胰管"], "3_disease_term": ["狭窄"]}
梗阻性肾病	N13.801	{"dummy_term": ["肾病"], "3_disease_term": ["梗阻性"]}
眶上裂综合征	H49.803	{"1_region_term": ["眶"], "dummy_term": ["综合征"], "3_disease_term": ["上裂"]}
宫颈恶性肿瘤	C53.900	{"1_region_term": ["宫颈"], "dummy_term": ["恶性肿瘤"]}
肠道肿瘤的特殊筛查	Z12.100	{"dummy_term": ["肠道", "肿瘤", "的", "特殊", "筛查"]}
传染性病因的全身炎症反应综合征伴有器官衰竭	R65.100	{"1_region_term": ["全身"], "dummy_term": ["传染性", "病因", "的", "炎症", "反应", "综合征", "伴有", "器官", "衰竭"]}
脊髓圆锥良性肿瘤	D33.405	{"1_region_term": ["脊髓"], "dummy_term": ["圆锥", "良性肿瘤"]}
粪类圆线虫感染	B78.901	{"dummy_term": ["粪", "类", "圆", "线虫", "感染"]}
暴露于其他的有生命机械性力量下	W64.x00	{"dummy_term": ["暴露", "于", "其他", "的", "有", "生命", "机械性", "力量", "下"]}
椎间盘疾患引起的神经根和神经丛压迫	G55.1*	{"1_region_term": ["椎间盘", "神经", "神经"], "dummy_term": ["疾患", "引起", "的", "根", "和", "丛", "压迫"]}
会阴炎性包块	L08.909	{"dummy_term": ["会", "阴炎", "性", "包", "块"]}
非特异性室内传导阻滞	I45.400	{"dummy_term": ["非", "特异性", "室内", "传导", "阻滞"]}
趾开放性伤口伴有趾甲损坏	S91.200	{"1_region_term": ["趾"], "dummy_term": ["伴有", "趾甲", "损坏"], "3_disease_term": ["开放性", "伤口"]}
未特指的膀胱恶性肿瘤	C67.9	{"1_region_term": ["膀胱"], "dummy_term": ["未", "特指", "的", "恶性肿瘤"]}
后天性踇外翻	M20.102	{"dummy_term": ["后天性", "踇"], "3_disease_term": ["外翻"]}
上颌骨发育不全	K07.005	{"1_region_term": ["上颌骨"], "dummy_term": ["发育不全"]}
面骨良性肿瘤	D16.401	{"1_region_term": ["面骨"], "dummy_term": ["良性肿瘤"]}
新生儿的脐带出血	P51.900	{"dummy_term": ["新生儿", "的", "脐带", "出", "血"]}
淋巴细胞减少型霍奇金病	C81.3	{"dummy_term": ["淋巴细胞", "减少", "型", "霍奇金", "病"]}
麻疹	B05	{"dummy_term": ["麻疹"]}
腘动脉损伤	S85.000	{"1_region_term": ["腘动脉"], "3_disease_term": ["损伤"]}
咳嗽变异性哮喘	J45.005	{"dummy_term": ["咳嗽", "变异性", "哮喘"]}
面部其他和未特指部位皮肤的良性肿瘤	D23.3	{"1_region_term": ["面部", "皮肤"], "dummy_term": ["其他", "和", "未", "特指", "部位", "的", "良性肿瘤"]}
前牙开合	K07.202	{"dummy_term": ["前牙", "开合"]}
生殖道中其他假体装置、植入物和移植物的机械性并发症	T83.400	{"dummy_term": ["生殖道", "其他", ",", "和", "的", "机械性", "并发症"], "2_operation_term": ["移植物"], "5_others_term": ["中"], "4_implant_term": ["假体装置", "植入物"]}
自我伤害个人史	Z91.500	{"dummy_term": ["自我", "伤害", "个人", "史"]}
特发性急性胰腺炎	K85.000	{"dummy_term": ["特发性", "急性", "胰腺炎"]}
新生儿呕血	P54.000	{"dummy_term": ["新生儿", "呕血"]}
口底交搭跨越恶性肿瘤的损害	C04.800	{"1_region_term": ["口底"], "dummy_term": ["交", "搭", "跨越", "恶性肿瘤", "的", "损害"]}
淋巴管瘤,任何部位	D18.1	{"1_region_term": ["淋巴管"], "dummy_term": ["任何", "部位"], "3_disease_term": ["瘤"]}
大腿肌肉劳损	M62.603	{"1_region_term": ["大腿", "肌肉"], "dummy_term": ["劳损"]}
开放性股骨特指部位骨折	S72.810	{"1_region_term": ["股骨"], "dummy_term": ["特指", "部位"], "3_disease_term": ["开放性", "骨折"]}
其他季节性变应性鼻炎	J30.2	{"dummy_term": ["其他", "季节性", "变应性", "鼻炎"]}
为抗狂犬病采取必要的免疫	Z24.200	{"dummy_term": ["为", "抗", "狂犬病", "采取", "必要", "的", "免疫"]}
口炎，其他形式的	K12.100	{"dummy_term": ["口炎", ",", "其他", "形式", "的"]}
急性查加斯病,未累及心脏	B57.1	{"1_region_term": ["心脏"], "dummy_term": ["急性", "查", "加斯", "病", "未", "累及"]}
喉先天性畸形	Q31.900	{"1_region_term": ["喉"], "dummy_term": ["先天性"], "3_disease_term": ["畸形"]}
胎儿皮下组织增厚	O35.813	{"1_region_term": ["皮下组织"], "dummy_term": ["增厚"], "5_others_term": ["胎儿"]}
鼻孔内异物	T17.100	{"dummy_term": ["鼻孔", "内"], "5_others_term": ["异物"]}
开放性腕部多发损伤	S61.701	{"dummy_term": ["腕部", "多发"], "3_disease_term": ["开放性", "损伤"]}
产程和分娩期间麻醉并发症	O74.900	{"dummy_term": ["产程", "和", "分娩", "期间", "麻醉", "并发症"]}
乳房的其他疾患	N64	{"1_region_term": ["乳房"], "dummy_term": ["的", "其他", "疾患"]}
未特指的三叉神经疾患	G50.9	{"1_region_term": ["三叉神经"], "dummy_term": ["未", "特指", "的", "疾患"]}
霍乱,由于01群霍乱弧菌,埃尔托生物型所致	A00.1	{"dummy_term": ["霍乱", "由于", "01", "群", "霍乱弧菌", "埃尔托", "生物", "型", "所致"]}
颈部脱位	S13.201	{"1_region_term": ["颈部"], "3_disease_term": ["脱位"]}
大脑动脉夹层形成,未破裂	I67.0	{"1_region_term": ["大脑"], "dummy_term": ["动脉夹", "层", "形成", "未"], "3_disease_term": ["破裂"]}
涉及锐器的依法处置	Y35.400	{"dummy_term": ["涉及", "锐器", "的", "依法", "处置"]}
开放性外生殖器损伤	S31.501	{"dummy_term": ["外生殖器"], "3_disease_term": ["开放性", "损伤"]}
在髋和大腿水平的皮感觉神经损伤	S74.200	{"1_region_term": ["髋", "大腿", "皮"], "dummy_term": ["在", "和", "水平", "的", "感觉神经"], "3_disease_term": ["损伤"]}
单侧腹股沟斜疝伴坏疽	K40.401	{"1_region_term": ["单侧腹股沟"], "dummy_term": ["伴", "坏疽"], "3_disease_term": ["斜疝"]}
胎盘边缘血窦破裂	O46.801	{"1_region_term": ["胎盘"], "dummy_term": ["边缘", "血"], "3_disease_term": ["窦", "破裂"]}
胆汁型急性胰腺炎	K85.100	{"dummy_term": ["胆汁", "型", "急性", "胰腺炎"]}
分类于他处的病毒性疾病引起的中耳炎	H67.1*	{"dummy_term": ["分类", "于", "他", "处", "的", "病毒性", "疾病", "引起", "的", "中耳炎"]}
脑桥出血	I61.301	{"1_region_term": ["脑"], "dummy_term": ["桥", "出", "血"]}
作用于自主神经系统的其他药物的意外中毒及暴露于该类药物	X43.x00	{"dummy_term": ["作用", "于", "自主神经", "系统", "的", "其他", "的", "意外", "中毒", "及", "暴露", "于", "该", "类药物"], "5_others_term": ["药物"]}
髋和大腿其他特指的损伤	S79.800	{"1_region_term": ["髋", "大腿"], "dummy_term": ["和", "其他", "特指", "的"], "3_disease_term": ["损伤"]}
髋和大腿开放性伤口	S71	{"1_region_term": ["髋", "大腿"], "dummy_term": ["和"], "3_disease_term": ["开放性", "伤口"]}
并发性白内障	H26.200	{"1_region_term": ["白内障"], "dummy_term": ["并发", "性"]}
新生儿钠平衡失调	P74.200	{"dummy_term": ["新生儿", "钠", "平衡", "失调"]}
神经性脱发	L65.802	{"1_region_term": ["神经性"], "dummy_term": ["脱发"]}
其他病毒性脑炎,不可归类在他处者	A85	{"dummy_term": ["其他", "不可", "归类", "在", "他", "处", "者"], "3_disease_term": ["病毒性脑炎"]}
幻觉，其他的	R44.200	{"dummy_term": ["幻觉", ",", "其他", "的"]}
人类免疫缺陷病毒[HIV]病造成的分类于他处的多种疾病	B22.700	{"dummy_term": ["人类", "免疫", "缺陷", "病毒", "[", "HIV", "]", "病", "造成", "的", "分类", "于", "他", "处", "的", "多种", "疾病"]}
伤寒性肝炎	A01.001†K77.0*	{"dummy_term": ["伤寒", "性肝炎"]}
铍肺	J63.201	{"1_region_term": ["肺"], "dummy_term": ["铍"]}
腹壁疝	K43.902	{"1_region_term": ["腹壁"], "3_disease_term": ["疝"]}
低T3综合征	E07.804	{"dummy_term": ["低", "T3", "综合征"]}
心源性哮喘	I50.104	{"dummy_term": ["心源性", "哮喘"]}
颈部原位黑色素瘤	D03.401	{"1_region_term": ["颈部"], "dummy_term": ["原位", "黑色素瘤"]}
妊娠合并丙型肝炎	O98.403	{"dummy_term": ["妊娠", "合", "并", "丙型肝炎"]}
食管息肉	K22.807	{"1_region_term": ["食管"], "3_disease_term": ["息肉"]}
幼年型皮肌炎	M33.000	{"dummy_term": ["幼年", "型", "皮肌炎"]}
肢体动脉硬化性闭塞症	I70.209	{"1_region_term": ["肢体动脉"], "dummy_term": ["硬化性", "闭塞", "症"]}
未特指的碳水化合物代谢紊乱	E74.9	{"dummy_term": ["未", "特指", "的", "碳水化合物", "代谢", "紊乱"]}
未特指的接合菌病	B46.9	{"dummy_term": ["未", "特指", "的", "接合菌", "病"]}
非风湿性二尖瓣狭窄伴闭锁不全	I34.801	{"1_region_term": ["二尖瓣"], "dummy_term": ["非", "风湿性", "伴", "不", "全"], "3_disease_term": ["狭窄", "闭锁"]}
冈上肌撕裂	M75.101	{"1_region_term": ["肌"], "dummy_term": ["冈", "上"], "3_disease_term": ["撕裂"]}
新生儿其他的低温症	P80.800	{"dummy_term": ["新生儿", "其他", "的", "低温", "症"]}
气胸	J93.900	{"dummy_term": ["气胸"]}
未特指的后天性溶血性贫血	D59.9	{"dummy_term": ["未", "特指", "的", "后天性", "溶血性", "贫血"]}
髁状突囊肿	K09.203	{"dummy_term": ["髁", "状", "突"], "3_disease_term": ["囊肿"]}
未特指的骨软骨发育不良	Q78.9	{"1_region_term": ["骨", "软骨"], "dummy_term": ["未", "特指", "的", "发育不良"]}
金属的毒性效应 	T56.900	{"dummy_term": ["的", "毒性", "效应"], "5_others_term": ["金属"]}
截瘫	G82.200	{"dummy_term": ["截瘫"]}
与饮酒有关	Z72.1	{"dummy_term": ["与", "饮酒", "有关"]}
胸腺增生	E32.001	{"1_region_term": ["胸腺"], "dummy_term": ["增生"]}
皮肤和皮下组织良性脂肪瘤样肿瘤	D17.301	{"1_region_term": ["皮肤和皮下组织"], "dummy_term": ["良性", "脂肪瘤", "样", "肿瘤"]}
呼吸道梗阻	J98.801	{"dummy_term": ["呼吸道"], "3_disease_term": ["梗阻"]}
结核性气胸，痰镜检（+）	A15.005	{"dummy_term": ["结核性", "气胸", ",", "痰", "镜检", "(", "+", ")"]}
肺动脉瓣狭窄	I37.000	{"1_region_term": ["肺动脉瓣"], "3_disease_term": ["狭窄"]}
